Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
2400,Burge, Colleen,Aspects of the ecology of the sea anemone, Anthopleura elegatissima, on San Juan Island, Washington,17,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Anthopleura elegatissima,Eagle Cove, San Juan Island|Cattle Point, San Juan Island|Land Bank, West Side Road, San Juan Island|Deadman Bay, San Juan Island
2401,Hauser, Donna,Distribution, abundance, habitat selection and sizes of Katharina tunicata (Mollusca: Polyplacophora) on north- and south- facing intertidal shores,13,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Katharina tunicata,Cattle Point, San Juan Island|Lime Kiln Point, San Juan Island|San Juan County Park, San Juan Island|Deadman Bay, San Juan Island|Eagle Cove, San Juan Island
2402,Bobrow, Karen|Griffiths, Jennifer|Hauser, Donna,Abundance, microhabitat selection and size distribution of Katharina tunicata (Mollusca: Polyplacophora) in response to physical stress,11,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Katharina tunicata,Cattle Point, San Juan Island|Lime Kiln Point, San Juan Island|San Juan County Park, San Juan Island|Deadman Bay, San Juan Island|Eagle Cove, San Juan Island
2403,Griffith, Jennifer|Bobrow, Karen|Hauser, Donna,Abundance, microhabitat selection and size of Katharina tunicata in response to exposure on north and south facing slopes,12,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Katharina tunicata,Cattle Point, San Juan Island|Lime Kiln Point, San Juan Island|San Juan County Park, San Juan Island|Deadman Bay, San Juan Island|Eagle Cove, San Juan Island
2404,Holt, Zachary B.,Distribution of and natural predation on the invasive bivalve Nuttallia obscurata on San Juan Island, Washngton,10,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Nuttallia obscurata|Cancer productus,San Juan Island
2405,Halos, Daniel A.|Olney, Brienne,Environmental effects of the heart beat reversal in Corella inflata (Urochordata: Ascidiacea),10,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Corella inflata,
2406,Putnam, Shelley,Vertical migration in Calanus, Pseudocalanus, and Euchaeta (Copepoda: Crustacea) from marine waters off West San Juan Island,12,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Calanus|Pseudocalanus|Euchaeta,San Juan Island
2407,Vaughn, Meredith,Distribution of marine invertebrates and their shorebird predators in False Bay, San Juan Island,11,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,,False Bay, San Juan Island
2408,Olney, Brienne|Halos, Dan,Effects of changing temperature, salinity and UV exposure on reverse heartbeat peristalsis in Corella inflata,10,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Corella inflata,
2409,Erickson, Aleta,Effects of human trampling on intertidal communities at Starfish Point, Olympic National Park, Washington,17,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Chthamalus dalli|Fucus gardneri|Lottia strigatella|Lottia digitalis|Semibalanus cariosus|Balanus glandula,Starfish Point, Olympic National Park
2410,Waterstrat, Frithiof|Frey, Peter,Vertical migration in chaetognaths and a comparative study of copepods in San Juan Channel,11,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Sagitta,San Juan Channel
2411,Kania, Melissa Rae,The Effect of wave exposure on the strength of the holdfast and stipe of Fucus gardneri Silva (Fucales, Heterokontophyta),7,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Fucus garneri"Lime Kiln Point, San Juan Island|Cattle Point, San Juan Island|Deadman Bay, San Juan Island|Reuben Tarte Park, San Juan Island|Jakles Lagoon, San Juan Island|Davison Head, San Juan Island"
2412,Jantzen, Ashley R.,Changing environmental conditions on their effects of the movement of Mopalia muscosa (Polyplacophora: Mollusca),12,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Summer,2002,Mopalia muscosa,Cattle Point, San Juan Island|Argyle Creek, San Juan Island
2413,Griffin, Melanie,Evaluation of acoustic telemetry and visible implant fluorescent elastomer as tracking tools Ophiodon elongatus and Sebastes caurinus within a San Juan County "no-take" reserve,1-20,Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2000,Ophiodon elongatus|Sebastes caurinus,San Juan County|Lime Kiln Point, San Juan Island|Turn Island|Deadman Bay, San Juan Island
2414,Trnka, Hana,Mapping of marine vegetation,21-44,Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2000,Laminaria|Ulva|Zostera,Griffin Bay, San Juan Island|Cattle Point, San Juan Island|Hunter Bay, San Juan Island|Argyle Bay, San Juan Island|Spencer Spit, Lopez Island|Davis Bay, Lopez Island|Shark Reef, Lopez Island
2415,Raaum, Jessica,The Effect of habitat on fish and crab species abundance, diversity, and size in temperate coastal marine communities,45-81,Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2000,Ulva|Laminaria|Apodichthys flavidus|Pholis laeta|Pholis ornata|Enophrys bison|Leptocottus armatus|Hexagrammos lagocephalus|Cancer magister|Telmessus cheiragonus,Argyle Bay, San Juan Island|Davis Bay, Lopez Island|Griffin Bay, San Juan Island|Cattle Point, San Juan Island
2416,Weiser, Colleen,Comparing fish densities with drift card accumulation and vegetation type in the San Juan archipelago,82-110,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Sebastes caurinus|Ophiodon elongatus,Argyle Bay, San Juan Island|Griffin Bay, San Juan Island|Spencer Spit, Lopez Island|Hunter Bay, Lopez Island|South Neck Point, Shaw Island
2417,Tomaro, Londi,Fish assemblages at known juvenile lingcod (Ophiodon elongatus) settlement sites in the San Juan Islands, Washington,111-122,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Ophiodon elongatus,Shoal Bay, Lopez Island|Swifts Bay, Lopez Island|Indian Cove, Shaw Island|Ship Bay, Orcas Island|Buck Bay, Orcas Island
2418,McHugh, Diana,Trapping survey of different vegetation types:habitat associations of juvenile spot prawns, Pandalus platyceros, and other organisms in the San Juan Islands,123-139,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Pandalus platyceros|Pandalus goniurus|Pandalus danae,Griffin Bay, San Juan Island|Neck Point, Shaw Island
2419,Martin, Brooke,Species composition in the nearshore fish assemblages at Point George, Shaw Island, Washington,140-162,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Sebastes caurinus|Sebastes emphaeus|Sebastes flavidus|Sebastes melanops|Sebastes maliger|Ophiodon elongatus|Hexagrammos decagrammus,Point George, Shaw Island
2420,Fulmer, Julia,Puget Sound rockfish (Sebastes emphaeus) age structure as an indicator of ecological processes in the San Juan archipelago,163-191,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Sebastes emphaeus,Shady Cove|Bell Island|Point George, Shaw Island|Turn Island
2421,Hammer, Mistie,A Social basis for site selection of the tidepool sculpin (Oligocottus maculosus),192-214,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Oligocottus maculosus,Cattle Point, San Juan Island|Deadman Bay, San Juan Island
2422,Clayman, Sam D.,Light intensity as an environmental cue for the burial and emergence behavior of the Pacific sandlance, Ammodytes hexapterus,215-242,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Ammodytes hexapterus,Jackson Beach|Eagle Cove, San Juan Island
2423,Meyer,John J.,Predation pressures exerted by a siphon-nipping fish on one native and two non-native bivalve species: implications for marine protected areas,243-268,Fisheries 492|Fisheries 499,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2001,Protothaca staminea|Venerupis philippinarum|Nuttallia obscurata|Leptocottus armatus,Argyle Lagoon, San Juan Island|Griffin Bay, San Juan Island|Wescott Bay, San Juan Island
2424,Cassazza, Lorraine,Disarticulation and transport in Psolus chitonoides,1-9,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Psolus chitonoides,
2425,Carroll, Monica,Encrustation patterns on the Brachiopod, Terebratalia transversa, San Juan Islands, Washington,10-23,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Terebratalia transversa,Rock Point, Lopez Island
2426,Hannisdal, Bjarte,Clams and brachiopods - chips that pass out of sight,24-35,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,,Rock Point, Lopez Island
2427,Messina, Carlo,Hydrodynamic behavior of brachiopod shells: experimental estimates and filed observations,36-52,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Terebratalia transversa,Rock Point, Lopez Island
2428,Stempien, Jennifer,Hydrodynamic behavior of Hemigrapsus oregonensis:implications for incorporation into the pre-fossil record,53-63,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Hemigrapsus oregonensis|Hemigrapsus nudus|Cancer productus,False Bay, San Juan Island
2429,Terry, Rebecca C.,Owl pellet taphonomy,64-86,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Bubo virginianus,Friday Harbor Laboratories
2430,Lazo, Dario G.,Bivalve taphonomy:testing the effect of life habits on the shell condition of the littleneck clam, Protothaca (P.) staminea,87-106,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Protothaca (P.) staminea,Argyle Creek, San Juan Island|Argyle Lagoon, San Juan Island
2431,Gupta, Neal S.,Experimental taphonomy of angiosperm leaf in freshwater and marine environment,107-120,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Arbutus menziesii,Sportsman Lake, San Juan Island|Argyle Lagoon, San Juan Island
2432,Salgeback, Jenny,Shell strength and breakage patterns of scarred and unscarred Nucella lamellosa from False Bay, San Juan Island, WA,121-140,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Nucella lamellosa|Cancer productus,False Bay, San Juan Island
2433,Krause, Richard A.,An Evaluation of the life and death assemblage of Terebratalia transversa:implications for the recognition of morphological variation in the fossil record,141-153,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Terebratalia transversa,San Juan Channel|Rock Point|Griffin Bay, San Juan Island
2434,Hendy, Austin J.,Patterns of bioerosion and the differential preservation potential of skeletal components in death assemblages, San Juan Channel, Puget Sound, Washington,154-168,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Terebratalia transversa|Glycymeris septentrionalis|Pododesmus macrochisma|Humilaria kennerleyi|Protothaca staminea|Saxidomus gigantea|Mya truncata,San Juan Channel
2435,Puchalski, Stephaney,The Taphonomy of chitons (Polyplacophora): a study focusing on Katharina tunicata and Mopalia muscosa from False Bay, San Juan Island, Washington,169-193,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Katharina tunicata|Mopalia muscosa,False Bay, San Juan Island
2436,Levine, Robert P.|Standen, Em,The Effect of size on latency and kinematics during escapes responses in Pacific Staghorn Sculpins, Leptocottus armatus,194-219,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Leptocottus armatus,Jackson Beach, San Juan Island
2437,MacNutt, Meaghan|Petersen, Maria F.,Hydrodynamic advantages in schooling shiner perch (Cymatogaster aggregate),220-223,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Cymatogaster aggregate,Jackson Beach, San Juan Island
2438,Paglianti, Annalisa,Effect of size on the timing of response in visually mediated escape behavior of staghorn sculpin (Leptocottus armatus),224-230,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Leptocottus armatus,San Juan Island
2439,Martinez, Gabriela M.,The Effects of temperature on escape response latency in the tide pool sculpin, Oligocottus maculosus,231-237,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Oligocottus maculosus,Deadman Bay, San Juan Island|Cattle Point, San Juan Island
2440,Zorich, Nathan,Can heart rate be used to determine feeding events in the starry flounder, (Platichthys stellatus)?,238-241,531,Paleobiology:Invertebrate Taphonomy,Summer,2002,Platichthys stellatus,Friday Harbor|East Sound, Orcas Island
2441,Dalla Valle, A.Z.|Rivas Diaz, R.,Opercular differential pressure as a predictor of metabolic oxygen demand in starry flounder, (Platichthys stellatus),241-245,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Platichthys stellatus,East Sound, Orcas Island|San Juan Island
2442,Cannas, Marcella|Schaefer, Justin,Gait transition and oxygen consumption in swimming striped surf perch (Embiotoca lateralis),246-256,Zoology 533,Paleobiology:Invertebrate Taphonomy,Summer,2002,Embiotoca lateralis,Jackson Beach, San Juan Island
2443,Arellano, Shawn|Catton, Cynthia|Reitzel, Adam,Behavioral responses to environmental gradients:insights from embryos and larvae of Dendraster excentricus,1-25,Zoology 533|Oceanography 578b,Larval Biology,Summer,2002,Dendraster excentricus|Dunaliella tertiolecta|Isochrysis galbana|Rhodomonas,
2444,Catton, Cynthia,Salinity effects on the vertical distributions of Dendraster excentricus:a physical or a physiological impedance?,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Dendraster excentricus,East Sound, Orcas Island
2445,Arellano, Shawn|Webb. Joel|Reitzel, Adam,Growth, development, and condition of Dendraster excentricus larvae reared on natural and laboratory diets,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Dendraster excentricus|Dunaliella tertiolecta,East Sound, Orcas Island
2446,Cooper, Erin|Falkner, Inke,Effects of UV irradiated food on sand dollar larvae,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Dunaliella tertiolecta|Dendraster excentricus,East Sound, Orcas Island
2447,Falkner, Inke|Henzler, Christy|Macdonald, Tara|Vaughn, Dawn,Between-site variation in energy allocation to reproduction in the opisthobranch Haminaea vesicula,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Haminoea vesicula|Haminaea vesicula,False Bay, San Juan Island|Argyle Lagoon, San Juan Island
2448,Henzler, Christy|Macdonald, Tara,Egg stickiness and its consequences for dispersal in the solitary ascidians Boltenia villosa (Stolidobranchia: Pyuridae) and Ascidia paratropa (Phlebobranchia: Ascidiidae),,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Boltenia villosa|Ascidia paratropa,Friday Harbor Laboratories
2449,Allen, Jon|McAlister, Justin,Testing rates of platonic versus benthic predation in the filed,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Cancer magister|Dendraster excentricus|Pteraster tesselatus|Tritonia diomedea,Parks Bay, Shaw Island|Friday Harbor Laboratories
2450,Bourdeau, Paul|Cisneros, Raquel|Vaughn, Dawn,Reduced growth of larval gastropod shells in the presence of predators,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Littorina scutulata|Cancer oregonensis|Cancer productus,Friday Harbor Laboratories
2451,Cooper, Erin C.|Bourdeau, Paul E.,Larval gastropod settlement in response to predatory cues,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Lacuna variegata|Lacuna vincta|Leptasterias hexactis|Pugettia gracilis,Fourth of July Beach, San Juan Island|False Bay, San Juan Island
2452,Webb, Joel|Bourdeau, Paul,Delay of settlement by Membranipora membranacea in the presence of a nudibranch predator,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,Membranipora membranacea|Doridella steinbergae,Friday Harbor Laboratories
2453,Cisneros, Raquel I.,Modeling marine life histories,,Zoology 533b|Oceanography 578b,Larval Biology,Summer,2002,,
2465,Almaguer-Bay, Mitchell|Andreu, Anne|Barndt, J. Katie|Buhle, Eric|Elliott, Crystal|Frappier, Kimberly|Ichii, Naoko|Kawashima, Shinobu|Nguyen, Pauline|Olmstead, Scott|Price-Rayner, Rachel,Friday Harbor Laboratories invasive plant management plan (campus area),86,,Biology of Invasive Plants,Winter,2002,Phalaris arundinacea|Cytisus scoparius|Rubus discolor|Cirsium arvense|Ilex aquifolium|Hedera helix|Verbascum thapsus|Holcus lanatus|Bromus tectorum|Poa pratensis|Dactylis glomerata|Dipsacus sylvestris|Dipsacus fullonum|Erodium cicutarium|Geranium molle|Hypochaeris radicata|Lolium perenne|Bromus hordeaceus|Rumex acetosella|Rumex crispus,Friday Harbor Laboratories
2470,Arentzen, Gretchen M.,The Effect of 24 hour starvation on filtering rates of the scallops Chlamys hastata and Chlamys rubida,10,Zoology 450|Botany 445,Marine Zoology/Marine Botany,Spring,2003,Chlamys hastata|Chlamys rubida|Isochrysis,
2471,Blahm, Amanda,Feeding preferences of Strongylocentrotus droebachiensis between Sargassum muticum and native subtidal kelps.,8,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Strongylocentrotus droebachiensis|Sargassum muticum|Agarum fimbriatum|Nereocystis luetkeana|Laminaria bongardiana,Reuben Tarte Park, San Juan Island|Friday Harbor Laboratories|Deadman Bay, San Juan Island
2472,Borton, Rhonda L.,A Study of feeding preferences of Strongylocentrotus droebachiensis,10,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Strongylocentrotus droebachiensis|Mazzaella splendens|Callophyllis|Alaria marginata|Costaria costata,Friday Harbor Laboratories
2473,Boruch-McDonough, Teegan,Decorating habits of Pugettia gracilis: preference not abundance,11,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Pugettia gracilis|Ulva californica|Alaria marginata|Microcladia borealis,Deadman Bay, San Juan Island|Cattle Point, San Juan Island
2474,Branson, Korina,Algal preferences for decoration of Pugettia gracilis on San Juan Island, Washington,11,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Pugettia gracilis|Ulva californica|Alaria marginata|Microcladia borealis,Deadman Bay, San Juan Island|Cattle Point, San Juan Island
2475,Do, Lien,Effects of oyster Crassostrea gigas on the species diversity of rocky intertidal communities in the San Juan Islands,20,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Crassostrea gigas|Fucus"Argyle Creek, San Juan Island|San Juan County Park, San Juan Island|Point George, Shaw Island|English Camp, San Juan Island|Kendzioreks Property|Pear Point, San Juan Island"
2476,Howieson, John,Influence of dock orientation and cover on communities of fouling organisms at two sites on San Juan Island,10,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,,Blakely Island Marina|Friday Harbor
2477,Johnson, Lisa,Effect of UV and temperature on embryogenesis in Tritonia diomedea and Archidoris montereyensis and a comparison of development in three nudibranch species,19,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Tritonia diomedea|Archidoris montereyensis,
2478,Ly, A.,Feeding preferences on the sea urchin Strongylocentrotus droebachiensis on intermediate and low preference algae,9,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Strongylocentrotus droebachiensis|Alaria marginata|Costaria costata|Callophyllis|Mazzaella splendens,
2479,Masten, Meagan,The Effects of Crassostrea gigas on intertidal communities in the San Juan Islands,19,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Crassostrea gigas|Fucus"Argyle Creek, San Juan Island|San Juan County Park, San Juan Island|Point George, Shaw Island|Pear Point, San Juan Island|Kendzioreks Property|English Camp, San Juan Island|Wescott Bay, San Juan Island"
2480,Mathis, Brenda,Male amphipod differentiation of reproductive female amphipods and 20-hydroxy ecdysone,15,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Apohyale pugettensis,Friday Harbor Laboratories
2481,Papiez, Chelsie,Herbivore preference for the gametophyte life history stage of Mazzaella splendens,7,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Mazzaella splendens|Littorina scutulata|Katharina tunicata|Strongylocentrotus droebachiensis,Deadman Bay, San Juan Island
2482,Queisser, Michael R.,Male gammarid amphipod preferences for reproductive females and 20-hydroxyecdysone,15,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Apohyale pugettensis,Friday Harbor Laboratories
2483,Van, Alison,Impact of Crassostrea gigas on the diversity of rocky mid-intertidal communities in the San Juan archipelago, Washington,16,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Crassostrea gigas|Fucus,Point George, Shaw Island|Bell Point, San Juan Island|Argyle Creek, San Juan Island|San Juan County Park, San Juan Island|Pear Point, San Juan Island
2484,Wavrin, Rochelle L.,Mate guarding:Male amphipod detection of 20-hydroxyecdysone and reproductive female amphipods,15,Zoology 430|Botany 445,Marine Zoology / Marine Botany,Spring,2003,Apohyale pugettensis,Friday Harbor Laboratories
2485,Phillips, Amber,Factors influencing larval fish and zooplankton assemblages in San Juan Channel,1-22,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,,San Juan Channel|Point George, Shaw Island|Jones Island
2486,Addison, Jason A.,Autumn distribution and habitat associations of zooplankton in nearshore areas of the San Juan archipelago, Washington,23-58,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,"Cantilever Point|Neck Point, Shaw Island|Brown Island|Hoffman Cove, Shaw Island|Parks Bay, Shaw Island|Shady Cove, San Juan Island|Turn Rock, San Juan Island|Simones Bay"
2487,Dwyer, Timothy R.,Temporal patterns in drift algal community structure,59-78,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Nereocystis luetkeana,Griffin Bay, San Juan Island|Point Slaughter, Shaw Island
2488,Sausman, Jacob,Comparison & analysis of the nearshore rocky reef fish densities at Pt. George, Shaw Island, Washington,79-116,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Sebastes caurinus|Sebastes emphaeus|Sebastes melanops|Sebastes maliger|Sebastes flavidus|Ophiodon elongatus|Hexagrammos decagrammus,Point George, Shaw Island
2489,Teem, Jason,Comparison of diver survey methods at Pt. George, Shaw Is.. WA,117-138,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,,Point George, Shaw Island
2490,Miller, Benjamin E.,Population estimates and habitat types of bottom fish assessed by a remotely operated vehicle (ROV) around the San Juan Islands, Washington,139-164,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Sebastes emphaeus,Point Caution, San Juan Island|Parks Bay, Shaw Island|Point George, Shaw Island|Point Slaughter, Shaw Island|Indian Cove, Shaw Island
2491,Genther, Kimberly,Factors affecting harbor seal (Phoca vitulina richardsi) haul-out behavior at Danger Rocks, San Juan Island, Washington,165-184,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Phoca vitulina richardsi,Danger Rocks, San Juan Island|Griffin Bay, San Juan Island
2492,Potter, Danielle Leaf,Review of the proposed barge landing site at North Griffin Bay, San Juan Island, Washington,185-264,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,,Griffin Bay, San Juan Island|Jackson Beach, San Juan Island
2493,Rodgers, Kristen L.,Survey of nearshore soft bottom demersal fish, shrimp and crabs in North Griffin Bay, San Juan Island, Washington,265-298,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,,Mill Street Beach, San Juan Island|Jackson Beach, San Juan Island|Griffin Bay, San Juan Island|North Bay, San Juan Island
2494,Hargrove, John S.,Acoustic and dummy tagging of copper rockfish (Sebastes caurinus),299-326,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Sebastes caurinus,Lime Kiln Point, San Juan Island|Turn Island|Cliff Island|Bell Island
2495,LaFrance, Laura,Changes in size of Puget Sound rockfish (Sebastes emphaeus) in San Juan archipelago, Washington,327-350,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Sebastes emphaeus,Shady Cove, San Juan Island|Turn Island|Bell Island|Pile Point, San Juan Island
2496,Thompson, Emily,Comparison of visual capabilities of Puget Sound rockfish (Sebastes emphaeus) and copper rockfish (Sebastes caurinus),351-373,Fisheries 492,Undergraduate Research Apprenticeship in Marine Fish Ecology,Fall,2002,Sebastes emphaeus|Sebaste caurinus,San Juan Islands
2497,Scannell, Christopher,The Effects of Platichthys stellatus blood serum on Ichthyophonus sp. in vitro,1-17,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Ichthyophonus|Platichthys stellatus,San Juan Channel|East Sound, Orcas Island
2498,Hart, S. Alexandra,The Effect of temperature and media type on the production of Ichthyophonus in vitro,18-31,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Ichthyophonus,San Juan Channel
2499,Jacobson, Tony,Prevalence of viral erythrocytic necrosis-like intraerythrocytic inclusion bodies in age 0 Pacific herring and age 0 chum salmon,32-46,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Oncorhynchus keta|Clupea pallasi,Friday Harbor|Snug Harbor, San Juan Island
2500,van der Staaten, Noelle,A New species of intraerythrocytic plasmodium-like organism found in Puget Sound rockfish (Sebastes emphaeus),47-67,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Sebastes emphaeus,Point Caution, San Juan Island|Broken Point, Shaw Island|Pile Point, San Juan Island|Point George, Shaw Island
2501,Josephson, Lindsey,In-vitro infection of starry flounder, Platychthyus stellatus, tissues with Ichthyophonus,68-85,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Platichthys stellatus|Ichthyophonus,
2502,Halos, Daniel,A Survey of Ichthyophonus in Sebastes emphaeus (Puget Sound rockfish) in the San Juan archipelago and Puget Sound, and the effects of temperature on its pathology,86-100,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Ichthyophonus|Sebastes emphaeus,Point Caution, San Juan Island|Broken Point, Shaw Island|Pile Point, San Juan Island|Point George, Shaw Island|Puget Sound, Central
2503,Hsu, Howard,Temperature effects and site variability on the prevalence and intensity of Microcotyle sebastis (Monogenea) infestations in the Puget Sound rockfish, Sebastes emphaeus,101-110,Fisheries 492,Emerging Diseases and Latent Infections in Aquatic Organisms,Spring,2003,Sebastes emphaeus|Microcotyle sebastis,Point Caution, San Juan Island|Point George, Shaw Island|Pile Point, San Juan Island|Broken Point, Shaw Island|Puget Sound, Central
2504,McDole, Tracy|Marohl, Rhonda,Molecular identification of bacterial symbionts in local Bugula species (Bryozoa, Cheilostomata),1-13,Zoology 498,Marine Molecular Ecology,Spring,2003,Bugula|Endobugula"Friday Harbor Laboratories|Friday Harbor|Snug Harbor, San Juan Island|Jensens Marina, San Juan Island|Westcott Bay, San Juan Island"
2505,Durkin, Colleen,Dispersal ability of a direct developer (Littorina sitkana:Gastropoda, Littorinacea) in the Puget Sound region and a comparison between barnacles (Balanus glandula:Crustacea, Cirripedia),14-27,Zoology 498,Marine Molecular Ecology,Spring,2003,Littorina sitkana|Balanus glandula,Victoria, British Columbia|Lime Kiln Point, San Juan Island|Potlatch, Washington|Elizan Beach, Washington
2506,McKitrick, Tanya,A Genetic and ecological description of Myxicola infundibulumand M. aesthetica aggregations (Polychaeta, Sabellidae),28-39,Zoology 498,Marine Molecular Ecology,Spring,2003,Myxicola infundibulum|Myxicola aesthetica,Anacortes, Washington
2507,Hempelmann, Jennifer,The Population Structure of Puget Sound rockfish (Sebastes emphaeus),40-53,Zoology 498,Marine Molecular Ecology,Spring,2003,Sebastes emphaeus,Point Caution, San Juan Island|Broken Point, Shaw Island|Boeing Creek, Seattle, Washington
2508,Caponera, Jay A.,Limited dispersal in the intertidal fish Oligocottus maculosus, and its implication for marine reserve design,54-64,Zoology 498,Marine Molecular Ecology,Spring,2003,Oligocottus maculosus,Cattle Point, San Juan Island|Rocky Point, San Juan Island|Deadman Bay, San Juan Island|Blakely Island
2509,Rafferty, Nicole,A Behavioral budget of a newborn killer whale (Orcinus orca) in Puget Sound,1-13,Zoology 498|Fisheries 492,Field Methods in Marine Mammalogy,Spring,2003,Orcinus orca,Haro Strait|San Juan Channel|Swanson Channel|Active Pass|Lime Kiln Point, San Juan Island
