Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
149,Merrick, Randolph V.,A comparison of high intertidal tidepools on the windward vs. leeward side of Eagle Point on San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Eagle Point, San Juan Island
150,Tierney, Cynthia,A study of the community on large rocks in Argyle Stream,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Argyle Creek, San Juan Island
151,Vilumsons, Kathryn E.,Salt marsh community structure in Argyle Lagoon, Friday Harbor, Washingon,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,Argyle Lagoon, San Juan Island
152,Williams, George T.,Common flora and fauna of the intertidal rocks at the head of False Bay, November 1978,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1978,,False Bay, San Juan Island
153,Bischak, Cynthia D.,The effects of crude oil on Iridaea cordata tetraspores,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Iridaea cordata,
154,Bischak, Cynthia|Frederick, Jenny|Frency, Barbara|McCreary, Debbie|Selin, Chris,Study of the flora and fauna of Eagle Cove on San Juan Island,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,,Eagle Cove, San Juan Island
155,Bolivar, John,Determining an allelopathic response between the red alga Iridaea heteocarpa & Iridaea cordata and the green alga Ulva lactuca,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Iridaea heterocarpa|Iridaea cordata|Ulva lactuca,
156,Bolivar, John|Erickson, Nancy|Krutch, Noel|Staeman, Shaari|Wilson, Cindy,Eagle Cove Transect,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,,Eagle Cove, San Juan Island
157,Erickson, Nancy L.,Feeding preferences of Collisella strigatella,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Collisella strigatella,
158,Frederick, Jennifer,Observations on the life cycle of Petalona and Scytosiphon,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Petalona|Scytosiphon,
159,French, Barbara,The life cylce of Urospora wormskioldii,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Urospora wormskioldii,
160,King, Jeffrey,Tide pool survey for patterns of herbivore and algal distribution,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,,
161,Krutch, Noel,Effects of sun and shade on submerged plates painted with anit-fouling paint or left upainted,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,,
162,McCreary, Deborah,Relationship between density and growth rates of Iridaea cordata (Florideophyceae) in semi-closed culture,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Iridaea cordata,
163,Oliver, Susan,Gonyzuax catanella as a planktonic food source - a feeding experiment using Acartia, a herbivorous zooplanktor,,Botany 445|Zoology 430,Marine Botany Marine Zoology,Spring,1981,Gonyaulax catanella|Acartia,
